Fecha,Número de confirmados,Media móvil semanal
29-Oct,1519,1413.4
30-Oct,1529,1378.6
31-Oct,1686,1386.4
01-Nov,1607,1396.0
02-Nov,1314,1368.7
03-Nov,1009,1381.1
04-Nov,846,1358.6
05-Nov,1540,1361.6
06-Nov,1801,1400.4
07-Nov,1568,1383.6
08-Nov,1576,1379.1
09-Nov,1318,1379.7
10-Nov,1083,1390.3
11-Nov,904,1398.6
12-Nov,1631,1411.6
13-Nov,1592,1381.7
14-Nov,1644,1392.6
15-Nov,1597,1395.6
16-Nov,1331,1397.4
17-Nov,1003,1386.0
18-Nov,945,1391.9
19-Nov,1455,1366.7
20-Nov,1573,1364.0
21-Nov,1550,1350.6
22-Nov,1497,1336.3
23-Nov,1440,1351.9
24-Nov,1005,1352.1
25-Nov,1004,1360.6
26-Nov,1564,1376.1
27-Nov,1570,1375.7
28-Nov,1718,1399.7
29-Nov,1489,1398.6
30-Nov,1313,1380.4
01-Dic,1119,1396.7
02-Dic,1035,1401.1
03-Dic,1507,1393.0
04-Dic,1729,1415.7
05-Dic,1533,1389.3
06-Dic,1710,1420.9
07-Dic,1760,1484.7
08-Dic,1389,1523.3
09-Dic,1247,1553.6
10-Dic,1662,1575.7
11-Dic,1531,1547.4
12-Dic,1807,1586.6
13-Dic,2139,1647.9
14-Dic,1911,1669.4
15-Dic,1498,1685.0
16-Dic,1402,1707.1
17-Dic,1998,1755.1
18-Dic,2404,1879.9
19-Dic,2217,1938.4
20-Dic,2191,1945.9
21-Dic,1943,1950.4
22-Dic,1699,1979.1
23-Dic,1726,2025.4
24-Dic,2395,2082.1
25-Dic,2520,2098.7
26-Dic,2564,2148.3
27-Dic,1711,2079.7
28-Dic,1923,2076.9
29-Dic,1958,2113.9
30-Dic,1961,2147.4
31-Dic,3022,2237.0
01-Ene,3588,2389.6
02-Ene,3338,2500.1
03-Ene,2289,2582.7
04-Ene,2450,2658.0
05-Ene,2457,2729.3
06-Ene,2378,2788.9
07-Ene,3685,2883.6
08-Ene,4201,2971.1
09-Ene,4361,3117.3
10-Ene,4181,3387.6
11-Ene,3970,3604.7
12-Ene,3238,3716.3
13-Ene,3394,3861.4
14-Ene,4177,3931.7
15-Ene,4471,3970.3
16-Ene,4313,3963.4
17-Ene,4340,3986.1
18-Ene,3918,3978.7
19-Ene,3400,4001.9
20-Ene,3583,4028.9
21-Ene,4363,4055.4
22-Ene,4956,4124.7
23-Ene,4550,4158.6
24-Ene,4498,4181.1
25-Ene,4068,4202.6
26-Ene,3322,4191.4
27-Ene,3371,4161.1
28-Ene,4260,4146.4
29-Ene,4606,4096.4
30-Ene,4160,4040.7
31-Ene,4209,3999.4
01-Feb,3779,3958.1
02-Feb,3138,3931.9
03-Feb,2616,3824.0
04-Feb,3589,3728.1
05-Feb,3786,3611.0
06-Feb,4063,3597.1
07-Feb,3804,3539.3
08-Feb,3464,3494.3
09-Feb,2829,3450.1
10-Feb,2399,3419.1
11-Feb,3729,3439.1
12-Feb,4169,3493.9
13-Feb,3920,3473.4
14-Feb,3815,3475.0
15-Feb,3333,3456.3
16-Feb,2547,3416.0
17-Feb,2330,3406.1
18-Feb,3866,3425.7
19-Feb,3827,3376.9
20-Feb,3893,3373.0
21-Feb,3618,3344.9
22-Feb,3547,3375.4
23-Feb,2356,3348.1
24-Feb,2554,3380.1
25-Feb,4181,3425.1
26-Feb,4586,3533.6
27-Feb,4523,3623.6
28-Feb,4208,3707.9
01-Mar,4082,3784.3
02-Mar,2747,3840.1
03-Mar,3053,3911.4
04-Mar,4567,3966.6
05-Mar,5325,4072.1
06-Mar,5037,4145.6
07-Mar,5280,4298.7
08-Mar,4733,4391.7
09-Mar,3528,4503.3
10-Mar,3958,4632.6
11-Mar,5566,4775.3
12-Mar,5983,4869.3
13-Mar,5928,4996.6
14-Mar,5734,5061.4
15-Mar,5117,5116.3
16-Mar,4591,5268.1
17-Mar,4395,5330.6
18-Mar,6249,5428.1
19-Mar,6604,5516.9
20-Mar,7084,5682.0
21-Mar,6836,5839.4
22-Mar,6155,5987.7
23-Mar,4948,6038.7
24-Mar,4826,6100.3
25-Mar,7023,6210.9
26-Mar,7626,6356.9
27-Mar,7588,6428.9
28-Mar,7326,6498.9
29-Mar,7247,6654.9
30-Mar,5394,6718.6
31-Mar,6053,6893.9
01-Abr,7830,7009.1
02-Abr,8112,7078.6
03-Abr,8028,7141.4
04-Abr,7304,7138.3
05-Abr,5807,6932.6
06-Abr,5164,6899.7
07-Abr,5134,6768.4
08-Abr,8195,6820.6
09-Abr,9171,6971.9
10-Abr,8124,6985.6
11-Abr,7945,7077.1
12-Abr,6372,7157.9
13-Abr,5718,7237.0
